,HEIGHT,WIDTH,NUM_TRAPS,NUM_GOALS,PATH_NOISE_PROB,BLIND_SWITCH_PROB,SARSA,MCCONTROL,QLEARNING,DQLEARNING
1544,19,19,28,4,0.323865,0.199796,-2.000000,-2.000000,-2.000000,-2.000000
1545,16,15,12,2,0.471457,0.084072,-2.000000,-2.000000,0.993000,-2.000000
1546,14,14,9,4,0.196154,0.132396,-2.000000,0.991000,-2.000000,-2.000000
1547,29,18,17,5,0.182172,0.211941,0.997000,0.997000,0.997000,0.997000
1548,21,21,26,2,0.231800,0.085792,0.998000,0.998000,0.998000,0.998000
1549,13,25,10,2,0.361404,0.118565,-2.000000,-2.000000,-2.000000,-2.000000
1550,10,18,13,4,0.344651,0.018480,0.993000,0.991000,0.993000,-2.000000
1551,27,10,27,3,0.444576,0.008061,-2.000000,0.991000,-2.000000,-2.000000
1552,28,13,11,4,0.479464,0.192332,-2.000000,-2.000000,-2.000000,-2.000000
1553,23,23,16,5,0.247221,0.158838,-2.000000,-2.000000,-2.000000,-2.000000
1554,18,24,10,2,0.120772,0.154135,-2.000000,-2.000000,-2.000000,-2.000000
1555,28,19,15,3,0.131948,0.203847,0.992000,0.992000,0.990000,-2.000000
1556,19,20,23,1,0.469023,0.042652,-2.000000,-1.001000,-2.000000,-2.000000
1557,30,20,30,2,0.383368,0.044134,0.995000,0.993000,0.995000,-2.000000
1558,23,17,30,4,0.342722,0.033292,0.994000,0.994000,0.994000,-2.000000
1559,29,11,18,1,0.386002,0.236999,0.997000,0.997000,0.997000,0.997000
1560,19,18,26,2,0.197114,0.002080,0.994000,0.992000,-2.000000,-2.000000
1561,31,26,21,5,0.390643,0.010503,0.996000,0.996000,0.996000,-2.000000
1562,29,18,9,3,0.372023,0.230839,0.992000,-2.000000,0.992000,-2.000000
1563,22,26,10,2,0.052028,0.094487,-2.000000,-2.000000,-2.000000,-2.000000
1564,14,21,30,3,0.139322,0.206836,0.996000,0.996000,0.996000,-2.000000
1565,28,29,18,3,0.068806,0.165949,-2.000000,-1.003000,-2.000000,-2.000000
1566,17,30,13,2,0.088935,0.005425,-2.000000,-1.004000,-2.000000,-2.000000
1567,11,26,27,3,0.027990,0.054036,0.996000,0.996000,0.996000,-2.000000
1568,31,19,14,1,0.143297,0.197233,-2.000000,-1.004000,-2.000000,-2.000000
1569,28,14,25,5,0.093064,0.233824,0.995000,0.993000,0.995000,-2.000000
1570,27,30,18,2,0.296500,0.049879,-2.000000,-2.000000,-2.000000,-2.000000
